Time,Force,Displacement,Strain 1
(s),(kN),(mm),(mm/mm)
240,0.5729,1.0548,0.011961
241,0.5761,1.0589,0.012013000000000001
242,0.5793,1.0628,0.012060999999999999
243,0.5822,1.0666,0.012109000000000002
244,0.5853,1.0708,0.012161
245,0.5886,1.0748,0.012211000000000001
246,0.5918,1.0788,0.012261
247,0.5948,1.0827,0.012309
248,0.5977,1.0867,0.012359
249,0.6009,1.0908,0.012411
250,0.604,1.0946,0.012458
251,0.607,1.0987,0.012509
252,0.6102,1.1029,0.012562
253,0.6133,1.1068,0.01261
254,0.6162,1.1107,0.012659
255,0.6194,1.1148,0.012710999999999998
256,0.6225,1.1187,0.012759
257,0.6255,1.1226,0.012806999999999999
258,0.6286,1.1268,0.01286
259,0.6319,1.1308,0.012910999999999999
260,0.6349,1.135,0.012963
261,0.6381,1.1389,0.013011
262,0.641,1.1428,0.01306
263,0.6441,1.1469,0.013111
264,0.6471,1.1506,0.013157
265,0.6501,1.1547,0.013208
266,0.6533,1.159,0.013262000000000001
267,0.6564,1.1629,0.013309999999999999
268,0.6594,1.1667,0.013358000000000002
269,0.6625,1.1709,0.013411
270,0.6654,1.1748,0.013459
271,0.6684,1.1787,0.013507
272,0.6715,1.1829,0.013561
273,0.6747,1.1869,0.01361
274,0.6778,1.1909,0.013661000000000001
275,0.6807,1.1948,0.013709
276,0.6837,1.1987,0.013758
277,0.6867,1.2028,0.013809
278,0.6897,1.2066,0.013856
279,0.6927,1.2107,0.013907000000000001
280,0.6959,1.2149,0.013961
281,0.6989,1.2189,0.01401
282,0.7018,1.2228,0.014058999999999999
283,0.7048,1.2269,0.014110000000000001
284,0.7078,1.2308,0.014157999999999999
285,0.7107,1.2346,0.014206000000000002
286,0.7137,1.2388,0.014258
287,0.7167,1.2427,0.014308000000000001
288,0.7196,1.247,0.01436
289,0.7224,1.2507,0.014408
290,0.7251,1.2547,0.014456
291,0.7282,1.2589,0.014509000000000001
292,0.7312,1.2627,0.014556
293,0.7339,1.2666,0.014606
294,0.737,1.2709,0.01466
295,0.7401,1.2749,0.014709000000000002
296,0.7428,1.2786,0.014755
297,0.7459,1.2827,0.014806999999999999
298,0.7488,1.2866,0.014856000000000001
299,0.7518,1.2904,0.014903
300,0.7546,1.2947,0.014956
301,0.7578,1.2988,0.015007999999999999
302,0.7609,1.303,0.01506
303,0.7637,1.3069,0.015108
304,0.7667,1.3108,0.015157
305,0.7696,1.3148,0.015208
306,0.7725,1.3186,0.015255000000000001
307,0.7754,1.3226,0.015305
308,0.7784,1.3269,0.015358
309,0.7814,1.3309,0.015408
310,0.7843,1.3346,0.015455000000000002
311,0.7873,1.3388,0.015507
312,0.7901,1.3427,0.015555000000000001
313,0.7931,1.3466,0.015605
314,0.796,1.3508,0.015657
315,0.7989,1.3548,0.015706
316,0.8018,1.3589,0.015758
317,0.8048,1.3627,0.015806
318,0.8076,1.3666,0.015853
319,0.8104,1.3707,0.015905
320,0.8134,1.3746,0.015954
321,0.8162,1.3785,0.016002000000000002
322,0.8193,1.3828,0.016057
323,0.8223,1.387,0.016109
324,0.8251,1.3907,0.016155
325,0.8279,1.3948,0.016207
326,0.831,1.3988,0.016256
327,0.8338,1.4026,0.016303
328,0.8366,1.4068,0.016354999999999998
329,0.8395,1.4108,0.016406
330,0.8423,1.4149,0.016457
331,0.8452,1.4188,0.016505000000000002
332,0.8481,1.4227,0.016554
333,0.8509,1.4267,0.016605
334,0.8538,1.4307,0.016654
335,0.8566,1.4346,0.016703
336,0.8595,1.4389,0.016756
337,0.8624,1.4429,0.016807000000000002
338,0.8651,1.4466,0.016853
339,0.8679,1.4507,0.016904
340,0.8709,1.4547,0.016954
341,0.8737,1.4586,0.017002
342,0.8764,1.4627,0.017054
343,0.8794,1.4668,0.017105
344,0.8823,1.471,0.017158
345,0.8852,1.475,0.017207
346,0.888,1.4788,0.017255
347,0.8907,1.4829,0.017306
348,0.8936,1.4868,0.017354
349,0.8962,1.4906,0.017403
350,0.8992,1.4949,0.017456
351,0.9022,1.4991,0.017508
352,0.9048,1.5026,0.017552
353,0.9073,1.5068,0.017603999999999998
354,0.9104,1.5108,0.017654
355,0.9131,1.5146,0.017702
356,0.9158,1.5188,0.017754000000000002
357,0.9187,1.5229,0.017805
358,0.9215,1.5269,0.017856
359,0.9244,1.5308,0.017904
360,0.927,1.5347,0.017953
361,0.9298,1.5388,0.018004
362,0.9326,1.5427,0.018053
363,0.9351,1.5466,0.018101
364,0.938,1.5509,0.018154999999999998
365,0.941,1.555,0.018207
366,0.9437,1.5588,0.018253
367,0.9463,1.5629,0.018305000000000002
368,0.9493,1.5668,0.018354
369,0.9517,1.5707,0.018402
370,0.9544,1.5748,0.018453
371,0.9572,1.5788,0.018503000000000002
372,0.9599,1.5829,0.018554
373,0.9628,1.5868,0.018603
374,0.9653,1.5907,0.018651
375,0.968,1.5948,0.018703
376,0.9707,1.5988,0.018753
377,0.9732,1.6027,0.018801000000000002
378,0.9759,1.6069,0.018854
379,0.9786,1.611,0.018906
380,0.9811,1.6146,0.018951
381,0.9835,1.6187,0.019001999999999998
382,0.9862,1.6228,0.019052
383,0.9889,1.6266,0.0191
384,0.9914,1.6306,0.01915
385,0.9941,1.6348,0.019202
386,0.997,1.6389,0.019254
387,0.9997,1.6428,0.019303
388,1.0022,1.6468,0.019352
389,1.0048,1.6508,0.019402
390,1.0075,1.6548,0.019452
391,1.01,1.6586,0.0195
392,1.0127,1.6628,0.019552
393,1.0155,1.667,0.019604
394,1.018,1.6706,0.01965
395,1.0205,1.6747,0.019701
396,1.0232,1.6787,0.019751
397,1.0258,1.6827,0.019799999999999998
398,1.0284,1.6868,0.019851
399,1.0311,1.6908,0.019902
400,1.0336,1.6948,0.019952
401,1.0363,1.6988,0.020001
402,1.0387,1.7026,0.020049
403,1.0412,1.7066,0.020099
404,1.044,1.7108,0.020151
405,1.0464,1.7145,0.020197
406,1.0489,1.7188,0.020251
407,1.0517,1.723,0.020304000000000003
408,1.0543,1.7267,0.02035
409,1.0567,1.7308,0.020401
410,1.0594,1.7348,0.020451999999999998
411,1.0618,1.7387,0.020499999999999997
412,1.0643,1.7427,0.020548999999999998
413,1.067,1.7468,0.020600999999999998
414,1.0694,1.7509,0.020652
415,1.0721,1.7548,0.0207
416,1.0744,1.7587,0.020749
417,1.0768,1.7627,0.020798999999999998
418,1.0795,1.7668,0.020851
419,1.082,1.7706,0.020898
420,1.0843,1.7748,0.020950000000000003
421,1.087,1.7789,0.021002
422,1.0894,1.7827,0.021049000000000002
423,1.0916,1.7867,0.021099
424,1.0943,1.7908,0.021150000000000002
425,1.0968,1.7947,0.021199
426,1.0991,1.7987,0.021248
427,1.1017,1.8028,0.0213
428,1.1043,1.8069,0.021351
429,1.1068,1.811,0.021402
430,1.1092,1.8149,0.02145
431,1.1115,1.8189,0.0215
432,1.1139,1.8229,0.021551
433,1.1162,1.8266,0.021596999999999998
434,1.1187,1.8308,0.021648999999999998
435,1.1212,1.835,0.021702
436,1.1236,1.8387,0.021748
437,1.1257,1.8427,0.021798
438,1.1283,1.8469,0.02185
439,1.1306,1.8508,0.021899000000000002
440,1.133,1.8547,0.021948
441,1.1353,1.8589,0.022000000000000002
442,1.1377,1.8628,0.022049
443,1.1401,1.8668,0.022099
444,1.1424,1.8707,0.022147999999999998
445,1.1448,1.8747,0.022198000000000002
446,1.1472,1.8788,0.022248999999999998
447,1.1493,1.8825,0.022296
448,1.1516,1.8867,0.022348
449,1.1541,1.891,0.022401
450,1.1566,1.8948,0.022448000000000003
451,1.1587,1.8988,0.022498
452,1.1609,1.9029,0.02255
453,1.1633,1.9068,0.022597999999999997
454,1.1654,1.9107,0.022647
455,1.1678,1.9148,0.022698999999999997
456,1.1701,1.9188,0.022748
457,1.1725,1.9229,0.022799
458,1.1746,1.9267,0.022847
459,1.1767,1.9307,0.022896
460,1.1791,1.9349,0.022949999999999998
461,1.1813,1.9386,0.022996
462,1.1834,1.9427,0.023046
463,1.1857,1.947,0.0231
464,1.1881,1.9507,0.023147
465,1.19,1.9546,0.023195
466,1.1922,1.9588,0.023247
467,1.1944,1.9627,0.023296
468,1.1964,1.9665,0.023343
469,1.1984,1.9707,0.023397
470,1.2004,1.9748,0.023448000000000004
471,1.2026,1.9789,0.023499
472,1.2048,1.9829,0.023548
473,1.2069,1.9869,0.023597999999999997
474,1.2089,1.9909,0.023648
